id,label
TEST_099,오염
TEST_100,곰팡이
TEST_101,훼손
TEST_102,곰팡이
TEST_103,오염
TEST_104,오염
TEST_105,오염
TEST_106,훼손
TEST_107,훼손
TEST_108,훼손
TEST_109,훼손
TEST_110,곰팡이
TEST_111,오염
TEST_112,훼손
TEST_113,오염
TEST_114,오염
TEST_115,훼손
TEST_116,걸레받이수정
TEST_117,훼손
TEST_118,오염
TEST_119,곰팡이
TEST_120,훼손
TEST_121,훼손
TEST_122,훼손
TEST_123,걸레받이수정
TEST_124,훼손
TEST_125,오염
TEST_126,꼬임
TEST_127,들뜸
TEST_128,오염
TEST_129,곰팡이
TEST_130,훼손
TEST_131,훼손
TEST_132,꼬임
TEST_133,오염
TEST_134,훼손
TEST_135,오염
TEST_136,곰팡이
TEST_137,오염
TEST_138,훼손
TEST_139,오염
TEST_140,오타공
TEST_141,오염
TEST_142,오염
TEST_143,오염
TEST_144,오염
TEST_145,오염
TEST_146,훼손
TEST_147,터짐
TEST_148,오염
TEST_149,오염
TEST_150,훼손
TEST_151,곰팡이
TEST_152,훼손
TEST_153,훼손
TEST_154,오염
TEST_155,훼손
TEST_156,오염
TEST_157,곰팡이
TEST_158,곰팡이
TEST_159,터짐
TEST_160,오염
TEST_161,오염
TEST_162,훼손
TEST_163,오염
TEST_164,훼손
TEST_165,훼손
TEST_166,훼손
TEST_167,훼손
TEST_168,훼손
TEST_169,오염
TEST_170,오염
TEST_171,훼손
TEST_172,훼손
TEST_173,오염
TEST_174,오염
TEST_175,꼬임
TEST_176,오염
TEST_177,훼손
TEST_178,오염
TEST_179,몰딩수정
TEST_180,걸레받이수정
TEST_181,오염
TEST_182,오염
TEST_183,꼬임
TEST_184,오염
TEST_185,훼손
TEST_186,꼬임
TEST_187,훼손
TEST_188,꼬임
TEST_189,꼬임
TEST_190,꼬임
TEST_191,훼손
TEST_192,훼손
TEST_193,꼬임
TEST_194,훼손
TEST_195,훼손
TEST_196,훼손
TEST_197,훼손
TEST_198,곰팡이
TEST_199,몰딩수정
TEST_200,훼손
TEST_201,꼬임
TEST_202,오염
TEST_203,"창틀,문틀수정"
TEST_204,훼손
TEST_205,꼬임
TEST_206,훼손
TEST_207,오염
TEST_208,오염
TEST_209,훼손
TEST_210,꼬임
TEST_211,오염
TEST_212,훼손
TEST_213,오염
TEST_214,오염
TEST_215,몰딩수정
TEST_216,훼손
TEST_217,오염
TEST_218,오염
TEST_219,훼손
TEST_220,오염
TEST_221,훼손
TEST_222,곰팡이
TEST_223,오염
TEST_224,훼손
TEST_225,오염
TEST_226,오염
TEST_227,오염
TEST_228,오염
TEST_229,오염
TEST_230,오염
TEST_231,오염
TEST_232,오염
TEST_233,오염
TEST_234,오염
TEST_235,훼손
TEST_236,꼬임
TEST_237,오염
TEST_238,오염
TEST_239,오염
TEST_240,오염
TEST_241,훼손
TEST_242,터짐
TEST_243,오염
TEST_244,곰팡이
TEST_245,오염
TEST_246,훼손
TEST_247,훼손
TEST_248,훼손
TEST_249,몰딩수정
TEST_250,오염
TEST_251,오타공
TEST_252,훼손
TEST_253,꼬임
TEST_254,오염
TEST_255,훼손
TEST_256,곰팡이
TEST_257,몰딩수정
TEST_258,오염
TEST_259,훼손
TEST_260,석고수정
TEST_261,훼손
TEST_262,훼손
TEST_263,곰팡이
TEST_264,훼손
TEST_265,몰딩수정
TEST_266,훼손
TEST_267,꼬임
TEST_268,오염
TEST_269,오염
TEST_270,훼손
TEST_271,걸레받이수정
TEST_272,오염
TEST_273,오염
TEST_274,오염
TEST_275,곰팡이
TEST_276,훼손
TEST_277,꼬임
TEST_278,훼손
TEST_279,오염
TEST_280,훼손
TEST_281,곰팡이
TEST_282,오염
TEST_283,오염
TEST_284,오염
TEST_285,오염
TEST_286,오염
TEST_287,오염
TEST_288,훼손
TEST_289,훼손
TEST_290,곰팡이
TEST_291,오염
TEST_292,오염
TEST_293,곰팡이
TEST_294,오염
TEST_295,훼손
TEST_296,오염
TEST_297,오염
TEST_298,오염
TEST_299,오염
TEST_300,오염
TEST_301,오염
TEST_302,오염
TEST_303,훼손
TEST_304,훼손
TEST_305,훼손
TEST_306,훼손
TEST_307,오염
TEST_308,훼손
TEST_309,훼손
TEST_310,훼손
TEST_311,훼손
TEST_312,훼손
TEST_313,오염
TEST_314,훼손
TEST_315,걸레받이수정
TEST_316,오염
TEST_317,훼손
TEST_318,오염
TEST_319,오염
TEST_320,곰팡이
TEST_321,곰팡이
TEST_322,오염
TEST_323,곰팡이
TEST_324,곰팡이
TEST_325,걸레받이수정
TEST_326,오염
TEST_327,훼손
TEST_328,오염
TEST_329,걸레받이수정
TEST_330,오염
TEST_331,오염
TEST_332,오염
TEST_333,훼손
TEST_334,오염
TEST_335,몰딩수정
TEST_336,훼손
TEST_337,면불량
TEST_338,오염
TEST_339,곰팡이
TEST_340,오타공
TEST_341,곰팡이
TEST_342,훼손
TEST_343,훼손
TEST_344,오염
TEST_345,훼손
TEST_346,오염
TEST_347,오염
TEST_348,오염
TEST_349,"창틀,문틀수정"
TEST_350,훼손
TEST_351,곰팡이
TEST_352,오염
TEST_353,꼬임
TEST_354,오염
TEST_355,오염
TEST_356,훼손
TEST_357,훼손
TEST_358,곰팡이
TEST_359,오염
TEST_360,오염
TEST_361,오염
TEST_362,걸레받이수정
TEST_363,훼손
TEST_364,훼손
TEST_365,오염
TEST_366,곰팡이
TEST_367,훼손
TEST_368,오염
TEST_369,훼손
TEST_370,훼손
TEST_371,훼손
TEST_372,훼손
TEST_373,오염
TEST_374,오염
TEST_375,오염
TEST_376,오염
TEST_377,꼬임
TEST_378,훼손
TEST_379,훼손
TEST_380,오염
TEST_381,훼손
TEST_382,오염
TEST_383,훼손
TEST_384,훼손
TEST_385,곰팡이
TEST_386,오염
TEST_387,곰팡이
TEST_388,꼬임
TEST_389,훼손
TEST_390,오염
TEST_391,오염
TEST_392,곰팡이
TEST_393,오염
TEST_394,곰팡이
TEST_395,오염
TEST_396,오염
TEST_397,곰팡이
TEST_398,오염
TEST_399,오염
TEST_400,곰팡이
TEST_401,훼손
TEST_402,오염
TEST_403,훼손
TEST_404,꼬임
TEST_405,훼손
TEST_406,오염
TEST_407,훼손
TEST_408,훼손
TEST_409,오염
TEST_410,훼손
TEST_411,훼손
TEST_412,오염
TEST_413,곰팡이
TEST_414,오염
TEST_415,오염
TEST_416,오염
TEST_417,오염
TEST_418,오염
TEST_419,훼손
TEST_420,훼손
TEST_421,훼손
TEST_422,오염
TEST_423,오염
TEST_424,오염
TEST_425,훼손
TEST_426,오염
TEST_427,오염
TEST_428,"창틀,문틀수정"
TEST_429,훼손
TEST_430,훼손
TEST_431,오염
TEST_432,꼬임
TEST_433,오염
TEST_434,훼손
TEST_435,훼손
TEST_436,오염
TEST_437,꼬임
TEST_438,몰딩수정
TEST_439,오염
TEST_440,훼손
TEST_441,걸레받이수정
TEST_442,오염
TEST_443,오염
TEST_444,오염
TEST_445,오염
TEST_446,꼬임
TEST_447,곰팡이
TEST_448,걸레받이수정
TEST_449,오염
TEST_450,오염
TEST_451,걸레받이수정
TEST_452,오염
TEST_453,곰팡이
TEST_454,오염
TEST_455,훼손
TEST_456,오염
TEST_457,곰팡이
TEST_458,걸레받이수정
TEST_459,터짐
TEST_460,훼손
TEST_461,훼손
TEST_462,훼손
TEST_463,훼손
TEST_464,훼손
TEST_465,훼손
TEST_466,훼손
TEST_467,오염
TEST_468,곰팡이
TEST_469,훼손
TEST_470,곰팡이
TEST_471,훼손
TEST_472,곰팡이
TEST_473,오염
TEST_474,오염
TEST_475,오염
TEST_476,오염
TEST_477,걸레받이수정
TEST_478,훼손
TEST_479,오염
TEST_480,오염
TEST_481,꼬임
TEST_482,오염
TEST_483,꼬임
TEST_484,몰딩수정
TEST_485,오염
TEST_486,훼손
TEST_487,훼손
TEST_488,곰팡이
TEST_489,오염
TEST_490,"창틀,문틀수정"
TEST_491,곰팡이
TEST_492,곰팡이
TEST_493,오염
TEST_494,훼손
TEST_495,훼손
TEST_496,오염
TEST_497,꼬임
TEST_498,오염
TEST_499,오염
TEST_500,훼손
TEST_501,곰팡이
TEST_502,오염
TEST_503,훼손
TEST_504,오염
TEST_505,곰팡이
TEST_506,오염
TEST_507,오염
TEST_508,오염
TEST_509,훼손
TEST_510,오염
TEST_511,오염
TEST_512,몰딩수정
TEST_513,터짐
TEST_514,꼬임
TEST_515,오염
TEST_516,훼손
TEST_517,오염
TEST_518,곰팡이
TEST_519,훼손
TEST_520,오염
TEST_521,곰팡이
TEST_522,훼손
TEST_523,훼손
TEST_524,곰팡이
TEST_525,오염
TEST_526,훼손
TEST_527,훼손
TEST_528,오염
TEST_529,훼손
TEST_530,훼손
TEST_531,곰팡이
TEST_532,꼬임
TEST_533,훼손
TEST_534,훼손
TEST_535,오염
TEST_536,곰팡이
TEST_537,꼬임
TEST_538,오염
TEST_539,훼손
TEST_540,오염
TEST_541,오염
TEST_542,오염
TEST_543,훼손
TEST_544,훼손
TEST_545,오염
TEST_546,걸레받이수정
TEST_547,오염
TEST_548,오염
TEST_549,걸레받이수정
TEST_550,훼손
TEST_551,꼬임
TEST_552,오염
TEST_553,오염
TEST_554,오염
TEST_555,몰딩수정
TEST_556,곰팡이
TEST_557,오염
TEST_558,오염
TEST_559,오염
TEST_560,곰팡이
TEST_561,곰팡이
TEST_562,오염
TEST_563,오염
TEST_564,훼손
TEST_565,오염
TEST_566,곰팡이
TEST_567,훼손
TEST_568,훼손
TEST_569,훼손
TEST_570,곰팡이
TEST_571,오염
TEST_572,훼손
TEST_573,훼손
TEST_574,오염
TEST_575,터짐
TEST_576,훼손
TEST_577,오염
TEST_578,오염
TEST_579,훼손
TEST_580,오염
TEST_581,오염
TEST_582,오염
TEST_583,훼손
TEST_584,곰팡이
TEST_585,훼손
TEST_586,오염
TEST_587,오염
TEST_588,오염
TEST_589,오염
TEST_590,몰딩수정
TEST_591,오염
TEST_592,훼손
TEST_593,오염
TEST_594,오염
TEST_595,훼손
TEST_596,꼬임
TEST_597,오염
TEST_598,훼손
TEST_599,훼손
TEST_600,훼손
TEST_601,오염
TEST_602,오염
TEST_603,오염
TEST_604,훼손
TEST_605,훼손
TEST_606,훼손
TEST_607,오염
TEST_608,오염
TEST_609,오염
TEST_610,곰팡이
TEST_611,오염
TEST_612,곰팡이
TEST_613,훼손
TEST_614,오염
TEST_615,곰팡이
TEST_616,훼손
TEST_617,터짐
TEST_618,오염
TEST_619,오염
TEST_620,곰팡이
TEST_621,곰팡이
TEST_622,오염
TEST_623,오염
TEST_624,훼손
TEST_625,훼손
TEST_626,오염
TEST_627,오염
TEST_628,오염
TEST_629,곰팡이
TEST_630,훼손
TEST_631,석고수정
TEST_632,훼손
TEST_633,오염
TEST_634,오염
TEST_635,오염
TEST_636,훼손
TEST_637,훼손
TEST_638,오염
TEST_639,오염
TEST_640,오염
TEST_641,곰팡이
TEST_642,훼손
TEST_643,훼손
TEST_644,훼손
TEST_645,곰팡이
TEST_646,오염
TEST_647,걸레받이수정
TEST_648,훼손
TEST_649,오염
TEST_650,훼손
TEST_651,오염
TEST_652,오염
TEST_653,곰팡이
TEST_654,오염
TEST_655,걸레받이수정
TEST_656,꼬임
TEST_657,훼손
TEST_658,오염
TEST_659,오염
TEST_660,오염
TEST_661,오염
TEST_662,훼손
TEST_663,오염
TEST_664,훼손
TEST_665,훼손
TEST_666,꼬임
TEST_667,오염
TEST_668,오염
TEST_669,훼손
TEST_670,훼손
TEST_671,훼손
TEST_672,오염
TEST_673,오염
TEST_674,오염
TEST_675,오염
TEST_676,몰딩수정
TEST_677,훼손
TEST_678,오염
TEST_679,터짐
TEST_680,오염
TEST_681,곰팡이
TEST_682,오염
TEST_683,꼬임
TEST_684,곰팡이
TEST_685,오염
TEST_686,오염
TEST_687,오염
TEST_688,오염
TEST_689,훼손
TEST_690,훼손
TEST_691,오염
TEST_692,훼손
TEST_693,훼손
TEST_694,오염
TEST_695,곰팡이
TEST_696,터짐
TEST_697,훼손
TEST_698,꼬임
TEST_699,곰팡이
TEST_700,오염
TEST_701,오염
TEST_702,곰팡이
TEST_703,훼손
TEST_704,"창틀,문틀수정"
TEST_705,오염
TEST_706,훼손
TEST_707,곰팡이
TEST_708,오염
TEST_709,오염
TEST_710,훼손
TEST_711,오염
TEST_712,훼손
TEST_713,오염
TEST_714,훼손
TEST_715,오염
TEST_716,훼손
TEST_717,몰딩수정
TEST_718,곰팡이
TEST_719,훼손
TEST_720,오염
TEST_721,"창틀,문틀수정"
TEST_722,훼손
TEST_723,훼손
TEST_724,훼손
TEST_725,곰팡이
TEST_726,면불량
TEST_727,훼손
TEST_728,오염
TEST_729,훼손
TEST_730,곰팡이
TEST_731,꼬임
TEST_732,훼손
TEST_733,오염
TEST_734,오염
TEST_735,훼손
TEST_736,오염
TEST_737,오염
TEST_738,오염
TEST_739,오염
TEST_740,훼손
TEST_741,오염
TEST_742,오염
TEST_743,오염
TEST_744,훼손
TEST_745,오염
TEST_746,몰딩수정
TEST_747,곰팡이
TEST_748,오염
TEST_749,훼손
TEST_750,걸레받이수정
TEST_751,훼손
TEST_752,오염
TEST_753,훼손
TEST_754,오염
TEST_755,오염
TEST_756,오염
TEST_757,오염
TEST_758,오염
TEST_759,오염
TEST_760,오염
TEST_761,훼손
TEST_762,곰팡이
TEST_763,오염
TEST_764,오염
TEST_765,몰딩수정
TEST_766,꼬임
TEST_767,몰딩수정
TEST_768,오염
TEST_769,훼손
TEST_770,훼손
TEST_771,오염
TEST_772,곰팡이
TEST_773,훼손
TEST_774,걸레받이수정
TEST_775,곰팡이
TEST_776,훼손
TEST_777,오염
TEST_778,오염
TEST_779,훼손
TEST_780,훼손
TEST_781,오염
TEST_782,훼손
TEST_783,오염
TEST_784,훼손
TEST_785,훼손
TEST_786,훼손
TEST_787,오염
TEST_788,훼손
TEST_789,오염
TEST_790,오염
TEST_791,"창틀,문틀수정"
